"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"20","drink (action)","garage","friend","story","sofa","same","garbage","dish","dish","like","hand","camera","bug","garbage","go","tummy","sidewalk","rip","penguin","other","oven","away","couch","potato chip","sing","people","couch","stove","tonight","morning","duck","that","owie","stove","popsicle","horse","money","knife","picture","picnic","eat","egg","yourself","those","grandpa","read","play","grrr","zoo","man"
"21","awake","yogurt","egg","bird","fork","napkin","wet (description)","hug","crayon","house","moo","morning","dish","clock","meow","broken","above","block","slipper","grass","bump","turkey","watch (object)","be","kiss","paper","shirt","tuna","gas station","watch (action)","spill","house","bed","bear","sofa","car","bird","cow","dryer","toothbrush","pen","giraffe","car","park","push","sprinkler","soda","toy (object)","baby","quiet"
"22","foot","then","cute","nails","butterfly","penguin","flower","show","teacher","old","doll","potty","they","gentle","cookie","after","teacher","sidewalk","sweater","kitchen","clock","money","sprinkler","melon","coke","yucky","sink","quack quack","cold","nap","man","ball","quack quack","but","good night","about","knife","rocking chair","juice","bee","jelly","mouth","stuck","tree","shower","stick","kitty","leg","tickle","coffee"
"23","hammer","window","go","bring","banana","peanut butter","bathtub","play pen","donkey","flower","stop","picture","try","orange (food)","toast","stove","elephant","teddybear","knife","hair","street","lamp","orange (description)","door","potty","drop","puppy","oven","baby","grandpa","bathroom","hug","pen","leg","purse","alligator","telephone","can (auxiliary)","monkey","away","lemme","sing","girl","spoon","finish","person","church","wish","last","all"
"24","snowman","grandma","spill","fork","raisin","morning","bottle","poor","purse","hand","shorts","meat","diaper","fast","tongue","tape","glasses","refrigerator","down","sink","push","glass","tooth","sing","hear","tongue","uncle","gentle","put","now","rip","kitchen","sandbox","make","bee","spaghetti","vanilla","stop","pen","glasses","picnic","clown","watch (action)","throw","necklace","basement","gloves","couch","coat","pencil"
"25","write","mittens","hat","yesterday","cute","cake","share","morning","hello","next to","camera","leg","catch","boy","corn","babysitter","knock","leg","salt","closet","ride","sick","pajamas","refrigerator","good night","lemme","pants","hose","smile","hand","rock (object)","woods","basket","cup","shoe","dog","motorcycle","motorcycle","wolf","jar","vacuum","refrigerator","button","butt","stairs","skate","listen","stay","where (question)","yellow"
"26","find","picture","dinner","banana","hear","bunny","mop","dirty","baby","muffin","try","chin","school","sun","refrigerator","wolf","lunch","sun","hate","doctor","belly button","chair","sun","penguin","star","crib","feed","hi","washing machine","orange (food)","have","hear","tape","bicycle","hide","coffee","pen","awake","milk","belly button","dress (object)","belt","have","kitchen","red","turtle","lunch","cute","sister","water (not beverage)"
"27","babysitter","bat","look","camping","garbage","blue","paint (action)","face","love","swim","story","block","be","hide","snow","watch (action)","knee","full","sleepy","ball","open (action)","swim","farm","child","popsicle","loud","tv","bug","red","but","swing (action)","oven","ear","fireman","drink (action)","nuts","house","moo","belt","garden","bathroom","plant","hurt (description)","closet","listen","could","stove","push","clown","potato chip"
"28","sweater","penguin","slide (object)","movie","radio","cat","it","chicken (animal)","bear","puzzle","wind","kitchen","next to","sing","teacher","pretzel","shoe","tv","flag","wet (description)","sleepy","say","water (not beverage)","diaper","movie","store","shoulder","when (question)","draw","hot","zoo","sad","cheek","around","applesauce","leg","paint (action)","bed","write","refrigerator","hamburger","boat","tongue","awake","sick","fork","yellow","wet (description)","loud","drawer"
"29","bib","moose","tickle","toothbrush","bottle","milk","lamb","hen","grass","doctor","give","squirrel","ride","grapes","bat","penguin","swing (action)","applesauce","be","day","animal","donut","paper","soda","donkey","zebra","sit","penis","lick","tired","hard","vroom","finish","country","stroller","drink (action)","bus","popsicle","sofa","brother","cheerios","tiny","bubbles","bat","tear","circus","stand","hear","grrr","stairs"
"30","jello","jacket","leg","about","get","horse","boat","mine","hand","zoo","basement","away","dryer","house","giraffe","walk","yes","hold","house","face","pumpkin","go","scarf","tray","gum","tights","dinner","brush (object)","say","pretend","pizza","frog","scarf","away","nurse","pen","moon","tongue","nice","sandwich","open (action)","knife","pudding","nap","fireman","all","chicken (animal)","mad","dirty","stove"
"31","moo","horse","ball","vitamins","shoe","bathroom","morning","nails","soup","tomorrow","bedroom","babysitter","behind","tray","stove","love","chin","kitchen","toe","grandma","cereal","arm","motorcycle","hate","belt","porch","gonna","not","taste","radio","sun","rip","bring","share","coat","cow","ankle","head","finish","sleepy","book","here","walker","store","fish (food)","belt","mop","orange (description)","police","downtown"
"32","button","knife","hafta","game","garage","grandpa","hide","glue","tissue","about","here","vagina","sun","glasses","ear","jacket","book","potato chip","sock","soft","party","chin","chicken (animal)","gloves","trash","kitchen","look","pants","boy","daddy","share","snowsuit","police","tooth","puzzle","dump","sock","vacuum","sink","doll","horse","pretend","kitchen","stop","cold","finish","cake","all","broom","potty"
"33","tiger","tree","sled","write","doll","hers","grandpa","potato chip","vagina","head","sister","zoo","potato chip","dinner","soda","sofa","cowboy","other","face","today","bench","potty","carry","meow","shoulder","breakfast","thank you","now","yucky","yard","playground","store","block","thirsty","dish","pizza","owl","peanut butter","puzzle","nurse","pumpkin","carry","kiss","diaper","bowl","airplane","cheerios","horse","beach","fork"
"34","pencil","garbage","bench","stroller","clap","lady","rain","cute","swim","lady","bathtub","room","bad","share","hurry","cat","butt","button","purse","boots","mittens","cheek","cookie","listen","roof","camera","bottle","mine","then","around","nuts","sink","animal","bathroom","skate","cute","butterfly","have","mad","coffee","lunch","crib","hard","stand","what","country","doll","mailman","hurry","sun"
"35","pickle","glass","picture","bubbles","baa baa","penis","crayon","uncle","wash","refrigerator","radio","today","bed","around","tv","spoon","do","in","time","jelly","light","sled","sleep","fish (food)","glass","sleepy","girl","candy","think","turkey","carry","popsicle","stone","oven","about","game","cup","black","belly button","garbage","plate","moose","corn","rooster","love","cracker","vagina","need","play dough","garbage"
"36","she","bed","cup","bedroom","empty","hen","run","baby","high","bubbles","beans","water (not beverage)","lemme","them","stand","park","bug","grass","potty","call on phone","sandbox","gentle","cake","yard","meat","hungry","ice cream","nails","garage","scissors","bread","dish","sock","them","store","school","same","into","necklace","goose","baby","make","chocolate","ball","telephone","tricycle","butter","drink (action)","box","eye"
"37","walk","spill","food","potato chip","present","push","donut","man","chair","bucket","ice cream","dry (action)","spoon","elephant","woods","penis","hair","man","lunch","hen","cook","snowman","cut","vagina","cake","applesauce","farm","deer","block","pillow","knee","shoe","slide (object)","banana","wash","breakfast","tuna","money","don't","kitty","choo choo","mine","all","teacher","broom","sneaker","soft","uncle","orange (food)","rip"
"38","sauce","bathtub","chin","shoe","first","fine","camera","airplane","teddybear","popcorn","foot","lamb","break","food","nap","sun","bite","have","go","elephant","vagina","his","frog","spoon","necklace","doctor","cracker","sink","sofa","party","orange (food)","bicycle","look","tree","bring","show","nice","roof","nap","old","spoon","bicycle","muffin","button","windy","fish (animal)","baby","potty","butter","ride"
"39","eye","hand","chase","brother","cheek","yard","poor","smile","hug","picture","cake","store","motorcycle","duck","tractor","feed","dry (action)","washing machine","sneaker","garage","beach","apple","walk","circus","push","first","star","finger","tiger","tray","person","tomorrow","them","cute","shoulder","rooster","party","firetruck","camera","good night","country","banana","cracker","gas station","sink","sandwich","tree","show","slide (object)","pancake"
"40","vagina","teddybear","knock","close","glass","on","pull","game","throw","pool","underpants","potato chip","bring","later","duck","book","cheese","now","bathroom","glass","peas","little (description)","same","sprinkler","book","asleep","which (question)","penny","tricycle","woods","hurt (description)","pig","soft","balloon","popcorn","cry","pencil","bathtub","yogurt","mailman","pancake","finger","breakfast","bunny","watch (action)","mouse","moon","hose","crayon","couch"
"41","light","why","hair","hammer","sister","nice","camping","stairs","toothbrush","bring","kitty","another","have","glue","chalk","bunny","bunny","donut","bee","french fries","at","same","hit","radio","hamburger","tape","doctor","new","pony","lamb","ladder","camping","hat","dress (object)","table","applesauce","street","cup","dry (action)","ankle","owl","lips","nuts","rock (object)","my","chicken (animal)","wake","foot","man","wake"
"42","coat","eye","kitchen","tray","hurt (description)","us","soft","time","house","tuna","scarf","pour","cute","throw","muffin","to","day","walk","baby","read","basket","stroller","knock","ice cream","fireman","toe","milk","hit","pour","turtle","goose","wipe","feed","beads","elephant","close","coat","school","snack","play dough","scissors","tomorrow","chair","elephant","towel","pony","foot","nails","snowsuit","put"
"43","movie","carry","couch","head","grandpa","mailman","here","shower","clock","clown","yard","stone","watch (action)","make","flag","nap","playground","corn","these","cowboy","tooth","bird","napkin","swing (action)","quiet","mittens","yogurt","bear","pizza","oven","me","don't","garage","juice","corn","garden","moose","lion","did","knee","them","puzzle","spaghetti","noodles","day","soft","diaper","red","movie","dryer"
"44","wet (description)","ladder","flag","were","duck","doctor","bad","does","plate","long","sweep","touch","tissue","bib","lamb","chalk","owl","later","plate","boy","stone","sandbox","bat","hamburger","bird","vitamins","train","country","white","shoe","pancake","am","lady","fix","pig","write","playground","hello","pretzel","vagina","make","sick","cereal","swing (action)","us","bat","zipper","cry","red","bench"
"45","finger","telephone","tired","food","on","lamb","chicken (food)","dog","dark","chocolate","get","washing machine","morning","pool","off","story","cookie","bathtub","mouth","above","salt","friend","shovel","penny","radio","pajamas","pull","orange (description)","tongue","train","donut","shirt","yellow","sweater","time","then","fall","pizza","elephant","bite","tissue","dress (object)","toe","soda","mouse","sidewalk","drink (action)","hit","babysitter","sneaker"
"46","head","bring","share","blanket","bug","sprinkler","into","movie","peanut butter","glasses","boat","call on phone","broom","pull","egg","moose","lady","good","finish","noodles","shirt","game","door","coke","pick","sock","nice","and","vacuum","bee","moon","necklace","bench","meat","bowl","person","will","full","try","they","cheese","hide","plant","cow","drink (action)","tractor","swing (action)","knee","your","smile"
"47","sofa","blue","ladder","help","skate","fork","hello","cat","hear","horse","close","toast","blanket","soda","good night","scarf","sky","tray","camera","scissors","awake","push","sink","mailman","dump","medicine","roof","donkey","bench","fireman","carrots","after","drive","woof woof","chalk","pudding","pick","pen","tractor","zebra","watch (object)","party","boat","yes","picnic","dry (action)","hamburger","first","lick","apple"
"48","day","water (not beverage)","gloves","butt","snowsuit","sandbox","crib","clap","door","lunch","gloves","dress (object)","grass","tractor","hamburger","dump","bad","break","box","knock","couch","bunny","do","toast","girl","vanilla","chair","rocking chair","crib","dry (action)","stop","cookie","belly button","cold","bathroom","doctor","box","slipper","walker","sad","cereal","drawer","pretend","coffee","take","bib","beach","box","basket","juice"
"49","raisin","bowl","ouch","hit","water (beverage)","catch","shorts","bus","bring","say","meat","movie","glue","orange (description)","fit","helicopter","police","bunny","sled","tomorrow","hit","pick","yum yum","good","oven","tuna","grass","present","bath","apple","scarf","wind","rain","skate","underpants","dry (action)","goose","bye","drink (action)","chalk","break","girl","friend","dry (action)","dance","water (beverage)","dry (action)","mittens","awake","hair"
"50","get","lunch","kiss","face","rooster","vagina","nails","white","dry (action)","i","sneaker","clock","belt","ball","bus","circus","swim","vitamins","sidewalk","myself","moose","rock (object)","bathroom","talk","mittens","cowboy","pig","none","mine","soup","shopping","find","today","bedroom","hafta","tiger","away","stove","close","shoe","coke","vacuum","pizza","him","same","lady","glasses","lunch","lunch","face"
"51","pillow","broom","door","tiger","shh","store","picture","vagina","hungry","gum","show","sick","pen","tights","bathtub","lips","fireman","pretend","elephant","sun","because","carry","much","bathtub","white","brush (object)","potato chip","pickle","break","cup","drive","bathtub","water (not beverage)","pour","bathtub","tooth","go","a lot","dirty","shower","too","potato chip","sink","snow","camera","baby","then","chalk","clap","sink"
"52","paint (action)","because","spaghetti","rip","knee","bus","story","sad","ball","sneaker","lady","ice cream","purse","jar","lips","lion","snow","store","call on phone","jeans","mailman","playground","make","knife","meow","kitty","dress (object)","hers","bear","leg","street","mine","penis","puppy","swing (action)","bee","fish (food)","napkin","donut","scarf","yard","yellow","yard","sing","find","orange (description)","jello","dress (object)","motorcycle","toast"
"53","doctor","drawer","mittens","away","stop","noodles","muffin","comb (object)","block","owl","person","peanut butter","necklace","pony","cold","pants","jar","ride","play","lick","smile","raisin","kitty","morning","refrigerator","to","beads","truck","snack","lion","cracker","red","dinner","trash","bottle","baby","napkin","donut","turtle","wolf","scarf","pajamas","swim","purse","dog","zebra","ear","nap","tissue","blow"
"54","glass","awake","circus","bed","zoo","ouch","window","frog","sandbox","vitamins","today","dump","hen","present","bite","fish (animal)","country","push","chair","drive","jelly","boots","butt","hug","was","after","nails","night","sink","sweater","mittens","knee","old","splash","playground","pancake","kick","dinner","street","lion","broken","nails","diaper","be","sit","nose","present","roof","paper","flag"
"55","heavy","baby","noodles","rocking chair","sandbox","glue","woods","open (action)","run","goose","cracker","face","grandma","new","playground","dance","chicken (animal)","hug","sky","bath","popcorn","french fries","every","smile","dog","bat","home","spaghetti","vagina","purse","crayon","cook","how","swim","house","potty","ladder","hand","bug","arm","toast","bucket","sweater","juice","he","moo","coffee","flower","jacket","yard"
"56","say","scissors","chicken (animal)","zipper","drive","little (description)","sweep","aunt","pool","heavy","beach","slow","pretty","which (question)","next to","over","grandma","plate","star","knife","black","sofa","belt","egg","can (auxiliary)","hair","owie","bite","zoo","night","lady","lion","house","milk","cereal","swing (action)","head","belt","purse","moose","penis","gum","ice","melon","kick","dish","chair","cat","soap","firetruck"
"57","yucky","watch (object)","ride","flag","babysitter","is","tuna","shoe","pancake","drop","rooster","spaghetti","am","window","heavy","sidewalk","thank you","ladder","smile","penis","butterfly","bicycle","potty","hand","coffee","bedroom","tummy","cheese","none","deer","shirt","fork","teddybear","boots","pretend","skate","basket","back (location)","closet","cat","garage","close","store","food","too","love","porch","tissue","grass","grrr"
"58","bad","gonna","pool","cry","fireman","bread","bunny","puppy","any","gas station","ant","same","chase","sleepy","dance","knee","buy","fine","juice","light","climb","teacher","ladder","park","chase","basket","firetruck","butter","sick","squirrel","couch","wash","wet (description)","pancake","tv","bedroom","toy (object)","sun","for","yogurt","uncle","horse","dump","toast","light","window","glass","lick","share","awake"
"59","be","too","beside","jar","hide","bedroom","bite","big","telephone","watch (action)","gentle","high chair","hit","fish (food)","dish","breakfast","pants","spoon","dark","knee","watch (object)","peanut butter","doll","applesauce","yellow","tiger","school","kitty","scarf","read","tuna","fall","tired","cracker","flower","button","roof","cereal","time","wake","food","salt","flower","dress (object)","bee","vitamins","ladder","can (auxiliary)","hug","flower"
"60","table","hat","purse","stand","cut","snow","bread","hat","cracker","jar","shoe","table","go","bowl","hurt (description)","lady","push","snack","day","none","rip","street","purse","vitamins","bowl","quack quack","hamburger","arm","rock (object)","pull","pajamas","brother","cake","tiger","choo choo","grapes","banana","tricycle","friend","peekaboo","shirt","down","see","ice cream","chin","owie","heavy","candy","cold","later"
"61","chalk","bye","penis","woods","bunny","leg","hold","pour","light","sandbox","peas","basket","rooster","book","good","uncle","fork","police","egg","pretend","tv","truck","penis","juice","dress (object)","cheerios","shh","popsicle","people","bug","paper","bed","fix","puzzle","turtle","jacket","broom","keys","cheek","sneaker","fish (food)","like","camping","bug","talk","chocolate","knee","underpants","teacher","school"
"62","finish","party","uncle","sweep","before","yesterday","sweater","room","helicopter","sidewalk","bathroom","knee","hafta","jump","pants","me","blue","mad","awake","gas station","stairs","stuck","dump","mouth","child","radio","catch","roof","walk","then","doctor","sun","helicopter","couch","his","bib","park","bat","window","awake","pizza","build","pony","bench","roof","vanilla","shower","back (location)","toothbrush","moose"
"63","quack quack","tonight","stove","brush (object)","say","sink","glasses","is","necklace","dog","alligator","hat","clown","snack","friend","bedroom","present","fork","chalk","hat","basement","asleep","zipper","chase","park","snowsuit","porch","fine","these","bring","button","food","sink","bottle","sidewalk","get","jacket","gloves","dark","home","yucky","brother","too","keys","go","your","pool","duck","tummy","off"
"64","closet","hair","people","babysitter","owl","jacket","long","wind","pretend","coat","motorcycle","hi","soup","friend","play pen","sandwich","hot","fish (food)","hit","rain","jello","book","water (beverage)","sheep","head","turtle","people","foot","purse","bucket","hers","shoulder","washing machine","read","couch","party","flag","sneaker","daddy","puzzle","girl","picture","climb","water (not beverage)","circus","play pen","uncle","man","now","belt"
"65","there","cow","butt","tooth","friend","roof","door","chalk","apple","camera","pillow","open (action)","mine","baby","grrr","open (action)","bath","zebra","moose","baby","hate","squirrel","kitchen","elephant","puzzle","pretty","all","climb","picnic","stick","farm","park","read","chicken (food)","kick","church","bottle","tv","horse","hungry","radio","butt","be","splash","lamb","jar","tv","mouse","purse","window"
"66","tired","pour","moon","me","cereal","zipper","shirt","popcorn","sweater","try","chase","share","soap","pizza","candy","bump","scarf","rooster","full","movie","carry","read","lamb","sneaker","woods","bunny","toothbrush","turkey","bib","medicine","sick","purse","down","squirrel","crayon","money","alligator","bottle","lamb","hurt (description)","sandbox","glass","slipper","block","brown","fit","mouse","rock (object)","spoon","bathroom"
"67","push","child","mailman","towel","cow","about","train","penis","better","grapes","pick","all","light","dryer","yard","belly button","tree","watch (action)","try","snack","hurry","hold","bird","hen","chalk","napkin","room","cook","tape","rock (object)","careful","read","us","hear","porch","picture","picture","is","bump","scissors","can (auxiliary)","bye","tights","mop","pour","then","spaghetti","doll","knife","table"
"68","hold","pony","party","puzzle","door","wind","lady","wish","gas station","party","garden","porch","room","lady","sad","bath","closet","bed","out","fork","vacuum","water (beverage)","glasses","owl","telephone","pencil","cry","are","finger","movie","cheerios","swim","yes","cheerios","tickle","nap","time","jump","my","paint (action)","lion","them","balloon","plate","sheep","zoo","penguin","dinner","pretty","loud"
"69","ladder","show","clown","nose","nose","chair","boots","me","button","climb","did","belly button","book","butterfly","shoulder","nurse","coke","pen","blanket","party","choo choo","box","present","head","fix","chicken (food)","yellow","refrigerator","police","shovel","toast","muffin","sprinkler","zoo","sleep","girl","towel","scissors","sprinkler","ant","tummy","downtown","them","into","dryer","police","camera","off","pretend","giraffe"
"70","leg","when (question)","candy","bump","couch","hafta","tricycle","toothbrush","potato chip","grandma","park","nuts","farm","story","elephant","garden","open (action)","goose","beads","vroom","quiet","hurt (description)","bathtub","garage","room","high","story","woods","blanket","blow","woods","go","donut","ball","dog","stairs","movie","beans","around","wash","sheep","baby","ankle","couch","plant","ear","friend","babysitter","cookie","little (description)"
"71","medicine","pillow","store","toast","uncle","shovel","underpants","mittens","shirt","quack quack","french fries","grandpa","window","shake","belt","washing machine","church","dryer","little (description)","orange (food)","cake","do","chalk","shower","peas","picnic","jeans","drive","sandwich","jeans","is","drawer","couch","gloves","bite","listen","play","hamburger","run","eye","yum yum","tuna","ear","french fries","scissors","garbage","sandbox","teacher","quack quack","trash"
"72","clap","leg","cookie","awake","catch","bird","lick","turtle","toe","soap","slipper","radio","away","salt","see","butt","keys","give","bird","star","train","airplane","pour","trash","little (description)","banana","basket","him","camera","garden","tape","shorts","church","man","green","medicine","truck","frog","ice","pour","but","clock","ball","tickle","tray","rooster","drawer","glasses","tongue","hamburger"
"73","jacket","head","drink (action)","mouse","potato chip","for","yogurt","little (description)","penny","underpants","jar","muffin","kitchen","basement","grandma","dark","snowman","next to","frog","make","roof","paper","dirty","sister","horse","dump","ankle","were","cow","mouse","blue","dog","other","moon","walker","catch","like","leg","nuts","bathroom","penny","cloud","nice","us","shopping","basket","pen","bring","play","noodles"
"74","sidewalk","bread","chair","sister","penny","donkey","see","mop","downtown","am","head","glass","carrots","telephone","sneaker","balloon","beans","hen","pool","peekaboo","picture","scared","ant","sun","kitchen","plate","why","leg","cake","throw","too","mouth","downtown","closet","hold","orange (food)","sick","yogurt","chicken (animal)","elephant","buy","knock","jacket","stick","sneaker","heavy","rooster","bed","belly button","puzzle"
"75","grass","woods","grandpa","bathroom","poor","say","brother","telephone","garden","present","butterfly","woods","sandwich","toast","tights","push","blow","bird","donkey","high","which (question)","garage","alligator","apple","picnic","blanket","garden","cookie","friend","full","rooster","flower","horse","of","splash","climb","ride","cut","block","salt","glasses","oven","tiger","strawberry","pants","towel","pillow","hand","pillow","ball"
"76","sun","sweater","lamb","blue","stand","cup","brown","cowboy","rooster","hose","candy","frog","ice","doctor","lunch","block","cereal","pumpkin","peanut butter","kick","bite","orange (food)","car","baby","paper","park","could","kitchen","dryer","sink","ankle","throw","lawn mower","bench","cloud","yes","make","jar","circus","blue","for","tricycle","help","milk","pencil","hit","tractor","swim","hamburger","squirrel"
"77","they","play dough","sun","fish (food)","basement","diaper","sheep","stove","loud","scissors","rock (object)","boat","boat","block","scissors","pull","jeans","basket","same","did","crib","day","muffin","little (description)","garbage","coffee","share","look","too","pen","bed","see","trash","porch","medicine","pretend","shoulder","snow","foot","basement","toy (object)","movie","horse","ear","splash","hose","bird","pattycake","rocking chair","dish"
